erle_db,erle_inst_db,erle_window_db,snr_in_db,snr_out_db,dtd_active,frame_index,beamformer_enabled,beamformer_algorithm,aec_enabled,aec_algorithm,nr_enabled,nr_algorithm
NaN,NaN,NaN,-12.9063199693089,-12.9063199693089,0,1,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0907956401822,-13.0907956401822,0,2,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.7919767219886,-12.7919767219886,0,3,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9583631558165,-12.9583631558165,0,4,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9238773059455,-12.9238773059455,0,5,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9606635601274,-12.9606635601274,0,6,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0479318641303,-13.0479318641303,0,7,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.6901093626046,-12.6901093626046,0,8,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8784167028528,-12.8784167028528,0,9,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8376341753723,-12.8376341753723,0,10,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9862325897881,-12.9862325897881,0,11,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9365633344522,-12.9365633344522,0,12,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8818251329811,-12.8818251329811,0,13,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9548907217845,-12.9548907217845,0,14,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9491882664693,-12.9491882664693,0,15,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8480801418768,-12.8480801418768,0,16,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0499280757886,-13.0499280757886,0,17,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.85572630344,-12.85572630344,0,18,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9546884374954,-12.9546884374954,0,19,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9694088205585,-12.9694088205585,0,20,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8913399674773,-12.8913399674773,0,21,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9967146810159,-12.9967146810159,0,22,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9309411922858,-12.9309411922858,0,23,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9705056876929,-12.9705056876929,0,24,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9059363792724,-12.9059363792724,0,25,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9337983778897,-12.9337983778897,0,26,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.086320998891,-13.086320998891,0,27,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9917589028071,-12.9917589028071,0,28,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.157417368122,-13.157417368122,0,29,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9356289535534,-12.9356289535534,0,30,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9093258667487,-12.9093258667487,0,31,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9277128173114,-12.9277128173114,0,32,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9228929559069,-12.9228929559069,0,33,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0609064576366,-13.0609064576366,0,34,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9780220730998,-12.9780220730998,0,35,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0694499269721,-13.0694499269721,0,36,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0648500929422,-13.0648500929422,0,37,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8896434326179,-12.8896434326179,0,38,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9585335782111,-12.9585335782111,0,39,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9423110552942,-12.9423110552942,0,40,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8474773135012,-12.8474773135012,0,41,0,das,0,nlms,0,traditional
